epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8032.66,1.2158,0.89037,1.23124,0.88661,0.82287,0.88211,0.59214,0.93925,0.68842,0.98615,0.007228,0.007228,0.007228
44,8182.38,1.21271,0.8796,1.22923,0.89903,0.80744,0.88364,0.59552,0.9373,0.67836,0.98533,0.007162,0.007162,0.007162
45,8332.33,1.20262,0.87749,1.22814,0.89094,0.81585,0.88688,0.59762,0.93468,0.64202,0.98181,0.007096,0.007096,0.007096
46,8482.23,1.196,0.85851,1.21998,0.89496,0.81882,0.88915,0.59886,0.94438,0.63678,0.98927,0.00703,0.00703,0.00703
47,8632.27,1.20048,0.87149,1.21779,0.8885,0.82627,0.88884,0.59976,0.9405,0.65523,0.98232,0.006964,0.006964,0.006964
48,8781.98,1.18745,0.86221,1.21339,0.88867,0.83236,0.88752,0.60467,0.93229,0.64044,0.97781,0.006898,0.006898,0.006898
49,8931.86,1.17773,0.84801,1.20233,0.88753,0.8272,0.88699,0.60488,0.9304,0.62216,0.97632,0.006832,0.006832,0.006832
50,9081.83,1.17815,0.84727,1.21409,0.88658,0.83086,0.88719,0.60328,0.93007,0.64281,0.97655,0.006766,0.006766,0.006766
51,9231.71,1.16374,0.83264,1.19694,0.90172,0.81945,0.88887,0.60582,0.92762,0.63733,0.97409,0.0067,0.0067,0.0067
52,9381.72,1.17141,0.84496,1.20245,0.90518,0.81844,0.89027,0.6079,0.92632,0.62544,0.97406,0.006634,0.006634,0.006634
53,9531.29,1.1608,0.83127,1.19775,0.91304,0.81382,0.88953,0.60882,0.91764,0.62868,0.96656,0.006568,0.006568,0.006568
54,9681.24,1.16441,0.82472,1.1929,0.91564,0.81548,0.89192,0.61142,0.91048,0.64044,0.95982,0.006502,0.006502,0.006502
55,9830.99,1.15279,0.81483,1.18715,0.90923,0.8254,0.8932,0.61315,0.90854,0.64771,0.95862,0.006436,0.006436,0.006436
56,9981.02,1.15325,0.82476,1.18926,0.90563,0.83211,0.89568,0.61448,0.91139,0.65571,0.96197,0.00637,0.00637,0.00637
