epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6159.97,1.42834,1.1909,1.4095,0.81845,0.74203,0.82809,0.5091,1.03439,0.81643,1.05303,0.005842,0.005842,0.005842
44,6301.42,1.42126,1.17772,1.40538,0.84898,0.73599,0.82948,0.51129,1.03274,0.80354,1.04797,0.005743,0.005743,0.005743
45,6442.68,1.41123,1.16586,1.40213,0.83187,0.7524,0.82952,0.51312,1.02884,0.79606,1.04666,0.005644,0.005644,0.005644
46,6583.77,1.39475,1.13719,1.38909,0.84665,0.75124,0.83074,0.51463,1.02506,0.79182,1.04914,0.005545,0.005545,0.005545
47,6724.92,1.39809,1.13722,1.38586,0.84548,0.75375,0.83166,0.51844,1.02265,0.80436,1.05341,0.005446,0.005446,0.005446
48,6866.4,1.37659,1.11862,1.37402,0.84159,0.7474,0.83143,0.52001,1.01749,0.81796,1.04927,0.005347,0.005347,0.005347
49,7007.64,1.37443,1.09876,1.36439,0.8369,0.75857,0.8351,0.52194,1.01636,0.82649,1.04229,0.005248,0.005248,0.005248
50,7148.88,1.36075,1.0846,1.3638,0.83156,0.76596,0.83587,0.52189,1.01197,0.81927,1.03527,0.005149,0.005149,0.005149
51,7290.44,1.34365,1.06714,1.34727,0.82899,0.774,0.84104,0.52751,1.01256,0.80365,1.03482,0.00505,0.00505,0.00505
52,7431.61,1.34215,1.07327,1.34471,0.84622,0.75917,0.84233,0.53266,1.00637,0.7935,1.03211,0.004951,0.004951,0.004951
53,7572.64,1.33383,1.05408,1.33939,0.83137,0.78286,0.8429,0.53573,1.0069,0.78284,1.03187,0.004852,0.004852,0.004852
54,7713.66,1.32335,1.04072,1.32872,0.83057,0.78662,0.84551,0.53773,1.00749,0.77438,1.0329,0.004753,0.004753,0.004753
55,7855,1.31578,1.02118,1.3206,0.84958,0.7774,0.84791,0.53926,1.00423,0.76837,1.02756,0.004654,0.004654,0.004654
56,7996.34,1.30811,1.02501,1.31864,0.85476,0.77729,0.84962,0.54215,1.00489,0.76657,1.02613,0.004555,0.004555,0.004555
57,8137.47,1.29463,0.99657,1.30995,0.84756,0.77737,0.85027,0.54369,1.0045,0.76896,1.02553,0.004456,0.004456,0.004456
58,8278.78,1.28197,0.99019,1.30403,0.84898,0.77948,0.85245,0.54609,1.00122,0.76441,1.02416,0.004357,0.004357,0.004357
59,8419.95,1.27702,0.97109,1.2919,0.85168,0.78487,0.85377,0.54688,1.00074,0.7608,1.02414,0.004258,0.004258,0.004258
60,8561.18,1.28105,0.97844,1.29588,0.85061,0.78908,0.85605,0.54865,0.99869,0.75413,1.01934,0.004159,0.004159,0.004159
61,8702.51,1.26538,0.95864,1.29045,0.85372,0.78519,0.85574,0.5502,0.99461,0.75325,1.01708,0.00406,0.00406,0.00406
62,8843.99,1.25293,0.94036,1.27709,0.85569,0.78937,0.85678,0.55068,0.99293,0.75108,1.01622,0.003961,0.003961,0.003961
63,8985.54,1.25364,0.94244,1.27672,0.85996,0.78508,0.85839,0.55202,0.99197,0.74281,1.01514,0.003862,0.003862,0.003862
64,9126.98,1.24472,0.92214,1.26762,0.8632,0.78472,0.85965,0.55407,0.98922,0.74132,1.01357,0.003763,0.003763,0.003763
65,9268.17,1.23179,0.92053,1.25916,0.8629,0.78801,0.86126,0.55524,0.98604,0.73612,1.01309,0.003664,0.003664,0.003664
66,9409.53,1.22143,0.91927,1.25131,0.86258,0.78837,0.86123,0.55691,0.98365,0.73473,1.01336,0.003565,0.003565,0.003565
67,9550.86,1.21784,0.89638,1.2502,0.86608,0.78588,0.86168,0.55885,0.98087,0.73386,1.0125,0.003466,0.003466,0.003466
68,9691.96,1.2002,0.88637,1.23981,0.86266,0.789,0.86181,0.55945,0.97951,0.73447,1.01187,0.003367,0.003367,0.003367
69,9833.02,1.20319,0.88503,1.23628,0.85716,0.79436,0.86321,0.56113,0.97832,0.73181,1.01069,0.003268,0.003268,0.003268
70,9974.83,1.19219,0.87401,1.22992,0.86322,0.79095,0.86461,0.56292,0.97824,0.73022,1.01067,0.003169,0.003169,0.003169
71,10117,1.17717,0.84953,1.22243,0.86421,0.78948,0.86448,0.56343,0.97639,0.73142,1.00864,0.00307,0.00307,0.00307
72,10258.3,1.17302,0.84649,1.22145,0.86492,0.79091,0.86526,0.56521,0.97262,0.73501,1.00585,0.002971,0.002971,0.002971
73,10399.8,1.1656,0.84655,1.21518,0.86499,0.79274,0.86565,0.56563,0.97103,0.73225,1.00484,0.002872,0.002872,0.002872
74,10541.3,1.15266,0.82379,1.20731,0.86691,0.79413,0.86649,0.56658,0.97014,0.72979,1.00457,0.002773,0.002773,0.002773
75,10683,1.15191,0.82642,1.2007,0.8665,0.79566,0.86745,0.56765,0.96923,0.72718,1.00451,0.002674,0.002674,0.002674
76,10824.3,1.13943,0.82323,1.19893,0.86308,0.80004,0.86707,0.56902,0.96918,0.72329,1.00498,0.002575,0.002575,0.002575
77,10965.6,1.13943,0.81523,1.197,0.86733,0.79725,0.86865,0.56982,0.96885,0.71955,1.00524,0.002476,0.002476,0.002476
78,11107.2,1.12319,0.79717,1.18657,0.869,0.79631,0.86756,0.57076,0.96946,0.71835,1.00493,0.002377,0.002377,0.002377
79,11248.5,1.12133,0.78562,1.18852,0.86659,0.79837,0.86852,0.57113,0.96845,0.71598,1.00425,0.002278,0.002278,0.002278
80,11389.9,1.11688,0.78862,1.18439,0.86588,0.79996,0.86884,0.57293,0.96708,0.71324,1.00316,0.002179,0.002179,0.002179
81,11531,1.10323,0.77008,1.17306,0.86591,0.80231,0.86916,0.57405,0.96555,0.71111,1.0024,0.00208,0.00208,0.00208
82,11672.5,1.09238,0.76152,1.16756,0.86661,0.80388,0.86977,0.57511,0.96616,0.70928,1.00302,0.001981,0.001981,0.001981
83,11814,1.0855,0.7563,1.16495,0.86989,0.80184,0.87012,0.57558,0.96495,0.70918,1.00207,0.001882,0.001882,0.001882
84,11955.7,1.07165,0.75376,1.15999,0.87011,0.80403,0.87078,0.57624,0.96287,0.71126,1.00125,0.001783,0.001783,0.001783
85,12096.7,1.06545,0.74131,1.15064,0.87077,0.80429,0.87098,0.57612,0.96252,0.7104,1.00179,0.001684,0.001684,0.001684
86,12237.9,1.06437,0.73707,1.15178,0.87521,0.80525,0.87201,0.5771,0.96222,0.70854,1.00271,0.001585,0.001585,0.001585
87,12379.4,1.05543,0.72925,1.14431,0.87375,0.8062,0.87166,0.57755,0.96144,0.70805,1.00223,0.001486,0.001486,0.001486
88,12520.6,1.0438,0.72025,1.13989,0.87537,0.80468,0.87185,0.57795,0.96108,0.70674,1.00291,0.001387,0.001387,0.001387
89,12661.7,1.04112,0.71278,1.13836,0.87856,0.80334,0.87284,0.57847,0.96008,0.70435,1.00285,0.001288,0.001288,0.001288
90,12803.1,1.03182,0.7043,1.13112,0.87825,0.80528,0.87353,0.57972,0.95951,0.70328,1.00361,0.001189,0.001189,0.001189
91,12966,0.9388,0.56753,1.08456,0.87697,0.80534,0.87358,0.5802,0.95846,0.70224,1.00351,0.00109,0.00109,0.00109
92,13105.2,0.91636,0.53776,1.06861,0.88238,0.80341,0.87517,0.58072,0.95727,0.70134,1.00328,0.000991,0.000991,0.000991
93,13243.1,0.89955,0.52685,1.06086,0.88242,0.80136,0.87413,0.58094,0.95636,0.70071,1.0032,0.000892,0.000892,0.000892
94,13381.7,0.88712,0.51309,1.06013,0.8806,0.80402,0.87504,0.58204,0.95548,0.70046,1.00304,0.000793,0.000793,0.000793
95,13520,0.87584,0.50796,1.04359,0.88009,0.80735,0.87492,0.582,0.95484,0.70108,1.00265,0.000694,0.000694,0.000694
96,13658.5,0.86222,0.49613,1.0368,0.87994,0.80619,0.87508,0.58303,0.95443,0.69933,1.0034,0.000595,0.000595,0.000595
97,13796.9,0.8473,0.48834,1.03315,0.88292,0.80343,0.87546,0.58389,0.95382,0.70011,1.004,0.000496,0.000496,0.000496
98,13935.5,0.83902,0.47908,1.02749,0.88363,0.80506,0.87562,0.58519,0.95293,0.69907,1.00437,0.000397,0.000397,0.000397
99,14074.3,0.83405,0.47494,1.02278,0.88308,0.80506,0.87627,0.58596,0.95175,0.69868,1.00403,0.000298,0.000298,0.000298
100,14213.1,0.82626,0.4737,1.02687,0.8838,0.80262,0.87578,0.58683,0.95091,0.69797,1.00379,0.000199,0.000199,0.000199
